EmployeeID,FirstName,LastName,DateOfBirth,Gender,DepartmentCode,JobTitle,AnnualSalary,HireDate,TerminationDate,EmploymentStatus,TermReason,EmployeeSatisfaction,PerformanceRating,Site
200031,Nicole,Lecomte,12/11/1998,F,RD,Senior Engineer,107000,11/06/2015,13/05/2021,Terminated,Resignation,3,3,Paris
200032,Noémi,Boulanger,25/07/1979,F,RD,Senior Engineer,95060,27/10/2014,24/08/2024,Terminated,Retirement,3,3,Paris
200033,Claude,Fernandez,19/08/1993,F,RD,ML Engineer,117120,07/12/2013,31/01/2020,Terminated,Resignation,3,3,Paris
200034,Étienne,Verdier,09/07/1982,F,RD,Lead Engineer,95880,11/07/2012,28/02/2017,Terminated,Layoff,1,3,Paris
200035,Célina,Chevalier,31/08/1997,F,RD,Research Scientist,119000,07/04/2015,,Active,,4,4,Paris
200036,Sabine,Tanguy,22/04/1994,F,RD,Senior Engineer,103400,28/07/2012,20/12/2020,Terminated,Resignation,4,4,Paris
200037,Franck,Maillard,07/06/1997,F,RD,Lead Engineer,96040,01/03/2014,15/01/2018,Terminated,Resignation,3,1,Paris
200038,Capucine,Techer,15/06/1995,M,RD,Lead Engineer,65660,17/06/2014,19/02/2024,Terminated,Other,3,4,Paris
200039,Philippine,Courtois,16/09/1985,F,RD,Senior Engineer,105600,28/06/2013,,Active,,3,3,Paris
200040,Gérard,Marty,29/05/1985,F,RD,ML Engineer,103400,04/12/2012,15/06/2020,Terminated,Resignation,4,5,Paris
200041,Éléonore,Lefèvre,16/02/1989,M,RD,ML Engineer,65280,08/06/2013,04/01/2025,Terminated,Layoff,2,4,Paris
200042,Véronique,Leleu,18/04/1996,F,RD,Software Engineer,67620,03/06/2014,10/11/2025,Terminated,Resignation,4,5,Paris
200043,Lauren,Nguyen,09/08/1972,M,RD,Data Scientist,110000,05/06/2015,20/01/2019,Terminated,Other,3,4,Paris
200044,Manuel,Fibonacci,17/03/1996,M,RD,ML Engineer,64859,06/06/2012,20/11/2016,Terminated,Resignation,4,4,Paris
200045,Anne,Hamel,22/07/1979,F,RD,ML Engineer,94000,03/12/2012,27/08/2015,Terminated,Resignation,3,3,Paris
200046,Isabelle,Seguin,04/06/1986,F,RD,Senior Engineer,122000,21/01/2015,20/07/2022,Terminated,Resignation,3,4,Paris
200047,Éléonore,Hoarau,17/03/1987,M,RD,Senior Engineer,109980,22/08/2012,,Active,,2,4,Paris
200048,Matthieu,Baudry,05/10/1992,M,RD,R&D Manager,98700,07/09/2012,12/07/2024,Terminated,Resignation,3,4,Paris
200049,Charlotte,Antoine,30/04/1971,M,RD,Senior Engineer,68600,18/01/2014,,Active,,4,1,Paris
200050,John,Carson,31/01/1974,M,RD,R&D Manager,91000,14/05/2015,25/11/2024,Terminated,Resignation,4,4,Paris
200051,Nathalie,Dos Santos,31/01/1981,F,RD,Software Engineer,99840,12/04/2013,13/08/2016,Terminated,Other,4,3,Paris
200052,Pauline,Jacob,08/02/1978,F,RD,Senior Engineer,111360,14/11/2013,19/03/2015,Terminated,Other,3,4,Paris
200053,Darin,Alvarez,24/05/1986,M,RD,Software Engineer,119380,02/03/2012,,Active,,3,3,Paris
200054,Alexandre,Fontaine,14/06/1994,F,RD,Software Engineer,73920,27/07/2013,14/01/2016,Terminated,Layoff,4,4,Paris
200055,Marie-Louise,Drewes,23/03/1978,F,RD,Lead Engineer,73320,04/10/2012,,Active,,4,4,Paris
200056,Angela,Carr,11/07/1986,F,RD,Lead Engineer,125760,30/08/2013,13/10/2017,Terminated,Resignation,2,3,Paris
200057,Bernard,Costa,02/04/1985,M,RD,Research Scientist,85260,24/06/2014,,Active,,3,4,Paris
200058,Louise,Fournier,08/02/2000,F,RD,ML Engineer,67620,17/09/2014,14/02/2021,Terminated,Resignation,1,4,Paris
200059,Noémi,Pelletier,03/10/1987,M,RD,Software Engineer,79380,11/06/2014,31/07/2020,Terminated,Resignation,3,3,Paris
200060,Patricia,Lesage,13/11/1990,F,RD,Software Engineer,92160,26/11/2013,24/11/2019,Terminated,Retirement,4,4,Paris
200061,Georges,Boucher,30/12/1992,M,RD,Software Engineer,130659,19/09/2012,30/03/2019,Terminated,Retirement,3,1,Paris
200062,Corinne,Thibault,03/08/2000,M,RD,Software Engineer,129360,09/07/2014,31/07/2016,Terminated,Resignation,3,3,Paris
200063,Marie,Camus,15/05/1989,F,RD,Software Engineer,111360,21/11/2013,21/04/2016,Terminated,Resignation,3,3,Paris
200064,Bertrand,Gilles,13/08/1987,F,RD,Data Scientist,114240,13/02/2013,,Active,,3,3,Paris
200065,Gioacchino,Ferragni,18/08/1992,F,RD,Senior Engineer,138000,16/04/2015,07/11/2020,Terminated,Other,4,4,Paris
200066,Charlotte,Jacquot,30/12/1972,M,RD,Research Scientist,127680,10/09/2013,26/09/2017,Terminated,Retirement,1,2,Paris
200067,Marcelle,Gauthier,17/07/1993,M,RD,Software Engineer,90240,03/07/2013,31/10/2020,Terminated,Resignation,3,4,Paris
200068,Klaus-Günter,Mülichen,27/02/1986,M,RD,Lead Engineer,68600,18/04/2014,08/12/2015,Terminated,Retirement,2,5,Paris
200069,William,Léger,02/07/1983,F,RD,Senior Engineer,95880,26/04/2012,14/03/2021,Terminated,Resignation,4,2,Paris
200070,Éléonore,Morin,25/09/1982,F,RD,Lead Engineer,116620,02/06/2014,15/02/2021,Terminated,Layoff,4,3,Paris
200071,Alfred,Vallée,26/01/1986,F,RD,ML Engineer,70500,28/02/2012,,Active,,4,5,Paris
200072,Adrienne,Hamel,28/12/2000,M,RD,ML Engineer,101520,09/02/2012,29/12/2016,Terminated,Retirement,4,5,Paris
200073,Uschi,Roht,18/08/1980,F,RD,Software Engineer,127840,05/05/2012,,Active,,3,4,Paris
200074,Eleonora,Hellwig,21/08/1999,M,RD,Software Engineer,113680,12/03/2014,29/05/2025,Terminated,Resignation,4,3,Paris
200075,Arnaude,Bruneau,04/11/1982,M,RD,ML Engineer,62040,27/03/2012,28/12/2024,Terminated,Retirement,3,3,Paris
200076,Adrien,Bonnet,14/03/1993,F,RD,ML Engineer,137200,20/11/2014,,Active,,4,1,Paris
200077,Stéphanie,Leduc,17/11/1996,M,RD,R&D Manager,71000,28/03/2015,,Active,,2,5,Paris
200078,William,Samson,03/11/1979,M,RD,Senior Engineer,119040,26/08/2013,17/01/2022,Terminated,Resignation,2,4,Paris
200079,Véronique,Boulay,19/10/1972,F,RD,Research Scientist,85000,02/02/2015,15/03/2018,Terminated,Layoff,3,3,Paris
200080,André,Bonnin,25/09/1994,F,RD,Data Scientist,75460,05/04/2014,20/08/2020,Terminated,Layoff,4,4,Paris
200081,Alain,Dupuis,07/07/1979,M,RD,R&D Manager,140000,28/04/2015,25/03/2019,Terminated,Other,2,4,Paris
200082,Emmanuel,Martineau,05/12/2000,M,RD,R&D Manager,102460,05/09/2012,06/09/2015,Terminated,Retirement,4,3,Paris
200083,Chantal,Noël,29/06/1999,F,RD,R&D Manager,119380,11/02/2012,21/01/2020,Terminated,Resignation,3,5,Paris
200084,Amélie,Ollivier,08/03/1977,F,RD,ML Engineer,123480,23/08/2014,10/02/2020,Terminated,Layoff,2,3,Paris
200085,Frithjof,Röhricht,01/06/1975,F,RD,R&D Manager,111000,12/03/2015,11/11/2015,Terminated,Layoff,2,3,Paris
200086,François,Dufour,13/02/1973,M,RD,Lead Engineer,74260,20/01/2012,03/10/2015,Terminated,Resignation,3,4,Paris
200087,Olivier,Bertin,18/11/1983,M,RD,R&D Manager,75840,30/05/2013,,Active,,4,4,Paris
200088,Dustin,Mccoy,06/01/1972,M,RD,R&D Manager,100940,21/06/2014,09/04/2015,Terminated,Retirement,1,2,Paris
200089,Marc,Leleu,30/08/1995,M,RD,R&D Manager,93100,21/04/2014,,Active,,3,3,Paris
200090,Virginie,Fernandez,22/07/1994,F,RD,Data Scientist,80640,11/10/2013,02/07/2021,Terminated,Resignation,4,3,Paris
200091,Isaac,Gaillard,13/08/1973,M,RD,Lead Engineer,83300,19/10/2014,,Active,,2,5,Paris
200092,Henri,Laurent,08/03/1987,M,RD,ML Engineer,112000,19/05/2015,28/08/2017,Terminated,Resignation,2,3,Paris
200093,Benoît,Rey,27/03/1998,M,RD,Research Scientist,69000,20/04/2015,13/06/2015,Terminated,Resignation,3,5,Paris
200094,Priscilla,Carosone,17/05/1984,M,RD,Software Engineer,69120,27/01/2013,01/11/2023,Terminated,Resignation,4,2,Paris
200095,Marguerite,Charrier,28/11/1971,F,RD,R&D Manager,66740,03/04/2012,30/04/2018,Terminated,Layoff,2,5,Paris
200096,Pénélope,Gillet,13/12/1991,M,RD,ML Engineer,70080,04/09/2013,06/06/2017,Terminated,Other,3,5,Paris
200097,Vincent,Rosales,29/01/1987,F,RD,Senior Engineer,130000,20/02/2015,05/08/2022,Terminated,Resignation,2,4,Paris
200098,Hortense,Mendès,18/10/1977,F,RD,Lead Engineer,122500,16/09/2014,28/08/2016,Terminated,Resignation,3,5,Paris
200099,Nath,Brunel,21/09/1993,M,RD,Data Scientist,113740,29/09/2012,06/02/2023,Terminated,Layoff,4,4,Paris
200100,Arnaude,Camus,21/11/1986,M,RD,Data Scientist,101920,10/12/2014,21/07/2018,Terminated,Resignation,3,5,Paris
200101,Corinne,Royer,16/03/1990,M,RD,Data Scientist,85260,27/08/2014,06/04/2016,Terminated,Resignation,3,4,Paris
200102,Joséphine,Henry,14/06/1993,F,RD,R&D Manager,108100,17/02/2012,,Active,,3,3,Paris
200103,Charlotte,Loiseau,31/05/1991,F,RD,Senior Engineer,85000,26/02/2015,05/11/2021,Terminated,Layoff,4,1,Paris
200104,Lamberto,Simeoni,10/12/1990,M,RD,Lead Engineer,111860,09/02/2012,,Active,,2,3,Paris
200105,Eugenie,Speer,23/12/1987,F,RD,Software Engineer,65000,01/05/2015,16/06/2016,Terminated,Other,3,4,Paris
200106,Arnaude,Collet,25/04/1991,F,RD,Research Scientist,135000,02/04/2015,17/12/2017,Terminated,Resignation,4,4,Paris
200107,Élodie,Baron,04/08/1998,M,RD,Research Scientist,114240,13/06/2013,05/04/2020,Terminated,Resignation,2,4,Paris
200108,Anthony,Krueger,10/10/1992,F,RD,Senior Engineer,116620,28/04/2014,13/03/2024,Terminated,Resignation,4,5,Paris
200109,Alida,Adler,15/09/1988,M,RD,ML Engineer,125960,06/04/2012,,Active,,1,2,Paris
200110,Anita,Giolitti,17/11/1985,M,RD,Lead Engineer,114000,27/05/2015,08/05/2022,Terminated,Retirement,2,5,Paris
200111,Miroslawa,Holt,07/01/1992,F,RD,Research Scientist,71040,26/10/2013,22/02/2018,Terminated,Resignation,3,3,Paris
200112,Ennio,Vivaldi,15/04/2000,F,RD,Software Engineer,74880,27/08/2013,23/05/2020,Terminated,Layoff,3,5,Paris
200113,Sébastien,De Sousa,22/09/1972,M,RD,Lead Engineer,121920,28/04/2013,04/03/2016,Terminated,Retirement,3,3,Paris
200114,Laurent,Moreau,10/05/1990,M,RD,Senior Engineer,105840,05/07/2014,15/02/2020,Terminated,Retirement,3,4,Paris
200115,Jeanne,Coulon,17/08/1976,M,RD,ML Engineer,114240,30/07/2013,09/12/2023,Terminated,Layoff,3,3,Paris
200116,David,Da Silva,27/09/1976,M,RD,Lead Engineer,130340,19/10/2014,05/02/2016,Terminated,Retirement,3,4,Paris
200117,Alfred,Guyon,18/04/1971,F,RD,Data Scientist,96820,21/06/2012,,Active,,1,2,Paris
200118,Guy,Petit,24/05/1973,F,RD,ML Engineer,83300,24/07/2014,22/09/2025,Terminated,Layoff,3,5,Paris
200119,Éric,Delmas,25/08/1981,M,RD,Senior Engineer,89280,18/08/2013,,Active,,1,5,Paris
200120,Franck,Gros,18/09/1998,F,RD,Senior Engineer,123140,22/07/2012,,Active,,2,5,Paris
200121,Lucas,Potier,07/03/1995,M,RD,Research Scientist,67680,08/02/2012,07/05/2023,Terminated,Resignation,4,3,Paris
200122,Émile,Merle,25/12/1985,F,RD,Research Scientist,75840,29/01/2013,,Active,,3,4,Paris
200123,Audrey,Gaillard,13/04/1983,F,RD,Lead Engineer,121000,04/03/2015,,Active,,4,5,Paris
200124,Andy,Oestrovsky,14/06/1982,F,RD,R&D Manager,114240,02/02/2013,09/04/2018,Terminated,Resignation,4,4,Paris
200125,Franck,Chartier,17/12/1999,M,RD,Research Scientist,125960,29/03/2012,15/02/2015,Terminated,Resignation,4,4,Paris
200126,Alice,Jacquet,31/12/1974,M,RD,Software Engineer,77080,18/02/2012,02/10/2025,Terminated,Retirement,3,4,Paris
200127,Hagen,Zorbach,06/09/1972,M,RD,R&D Manager,96820,18/11/2012,30/06/2020,Terminated,Resignation,4,3,Paris
200128,Céline,Camus,01/08/1975,M,RD,Software Engineer,74480,17/06/2014,09/06/2018,Terminated,Retirement,2,5,Paris
200129,Élisabeth,Lemonnier,29/09/1992,F,RD,Software Engineer,77760,22/11/2013,,Active,,4,4,Paris
200130,Thérèse,Lecoq,23/09/1993,M,RD,Software Engineer,94080,16/03/2013,,Active,,3,3,Paris
200131,Gerald,Li,19/09/1973,M,RD,Research Scientist,81000,17/05/2015,17/07/2020,Terminated,Layoff,4,2,Paris
200132,Andrée,Leclercq,19/02/1982,F,RD,R&D Manager,96960,29/04/2013,,Active,,3,3,Paris
200133,Véronique,Delahaye,31/05/1970,M,RD,Data Scientist,98000,01/04/2014,19/02/2019,Terminated,Layoff,1,3,Paris
200134,Aurélie,Deschamps,29/05/1995,M,RD,Data Scientist,72960,10/02/2013,29/11/2020,Terminated,Layoff,4,3,Paris
200135,Margareta,Grein Groth,28/01/1990,F,RD,Data Scientist,74880,20/07/2013,12/12/2025,Terminated,Resignation,2,3,Paris
200136,Roland,Fernandez,19/02/1970,F,RD,Data Scientist,115000,17/06/2015,,Active,,1,4,Paris
200137,Édith,Breton,08/09/1972,M,RD,Lead Engineer,66000,16/02/2015,10/09/2024,Terminated,Resignation,2,3,Paris
200138,Elisa,Tasca,24/08/1982,F,RD,Data Scientist,109760,01/02/2014,,Active,,1,3,Paris
200139,Thomas,Leclercq,01/02/1986,F,RD,Lead Engineer,85000,30/01/2015,,Active,,4,1,Paris
200140,Philippine,Guyot,07/12/1975,F,RD,Data Scientist,128640,02/06/2013,,Active,,3,3,Paris
200141,Alexandrie,Faivre,07/03/1998,F,RD,Software Engineer,135000,30/06/2015,30/11/2021,Terminated,Resignation,2,4,Paris
200142,Monique,Bazin,14/08/1996,M,RD,Lead Engineer,93060,01/11/2012,23/05/2018,Terminated,Resignation,3,3,Paris
200143,Christiane,Bouvet,02/02/1980,F,RD,Data Scientist,80840,10/03/2012,,Active,,2,5,Paris
200144,Pauline,Valette,16/07/2000,F,RD,Data Scientist,120540,04/07/2014,,Active,,3,4,Paris
200145,Marcelle,Hardy,17/05/1999,M,RD,Data Scientist,139000,07/02/2015,,Active,,4,5,Paris
200146,Anaïs,Bodin,20/12/1983,M,RD,Research Scientist,118440,24/01/2012,07/10/2015,Terminated,Layoff,2,3,Paris
200147,Élisabeth,Maréchal,05/07/1988,F,RD,Senior Engineer,82560,09/09/2013,,Active,,2,5,Paris
200148,Pierre,Hoareau,22/01/1984,M,RD,ML Engineer,110740,21/04/2014,22/08/2018,Terminated,Other,3,4,Paris
200149,Océane,Guilbert,25/04/1983,M,RD,Data Scientist,123840,27/11/2013,04/04/2017,Terminated,Retirement,3,3,Paris
200150,Zoé,Munoz,21/06/1971,F,RD,Data Scientist,107800,12/06/2014,,Active,,4,3,Paris
200151,Margaux,Ruiz,13/06/1976,M,RD,Software Engineer,103880,29/08/2014,30/04/2021,Terminated,Resignation,3,4,Paris
200152,Édouard,Paris,03/09/1988,M,RD,Software Engineer,106220,04/08/2012,,Active,,2,3,Paris
200153,Margot,Henry,06/11/1973,F,RD,ML Engineer,92120,15/06/2014,01/10/2019,Terminated,Layoff,3,4,Paris
200154,Adamo,Littizzetto,27/09/1992,F,RD,Senior Engineer,104640,29/10/2013,,Active,,3,3,Paris
200155,William,Houston,23/04/1997,M,RD,Research Scientist,113000,19/04/2015,24/05/2022,Terminated,Layoff,4,5,Paris
200156,William,Dos Santos,12/05/1973,M,RD,Data Scientist,136220,04/01/2014,20/11/2018,Terminated,Layoff,3,5,Paris
200157,Agnès,Grenier,22/01/1980,M,RD,Research Scientist,114680,08/07/2012,21/10/2025,Terminated,Resignation,3,5,Paris
200158,Benoît,Lecomte,19/01/1972,F,RD,Lead Engineer,73500,14/12/2014,03/12/2018,Terminated,Layoff,3,2,Paris
200159,Valérie,Pruvost,22/05/1980,F,RD,Senior Engineer,129360,05/08/2014,,Active,,2,3,Paris
200160,Laurence,Guilbert,14/04/2000,M,RD,R&D Manager,111360,29/09/2013,,Active,,2,3,Paris
200161,Josette,Labbé,23/04/1974,F,RD,Data Scientist,84600,15/04/2012,,Active,,3,5,Paris
200162,Amelie,Kraushaar,17/02/1985,F,RD,Research Scientist,131600,16/10/2012,19/09/2019,Terminated,Layoff,4,4,Paris
200163,Inès,Boyer,30/12/1975,F,RD,Lead Engineer,88320,07/10/2013,06/11/2022,Terminated,Resignation,2,2,Paris
200164,Éléonore,Simon,15/03/2000,F,RD,Lead Engineer,83660,06/03/2012,22/04/2022,Terminated,Other,3,4,Paris
200165,Michelle,Coste,15/03/1999,F,RD,Software Engineer,124080,30/11/2012,,Active,,4,3,Paris
200166,Georges,Riou,08/11/1996,F,RD,Research Scientist,104860,27/01/2014,26/08/2019,Terminated,Layoff,3,3,Paris
200167,Marine,Rodriguez,15/02/1983,M,RD,Senior Engineer,85000,26/02/2015,05/08/2020,Terminated,Resignation,3,2,Paris
200168,Richard,Renard,02/07/1981,M,RD,Software Engineer,72380,16/03/2012,30/04/2017,Terminated,Resignation,2,1,Paris
200169,Marcelle,Le Goff,06/02/1992,M,RD,Research Scientist,102000,30/01/2015,26/07/2020,Terminated,Other,2,4,Paris
200170,Charles,Potier,05/01/1992,F,RD,Lead Engineer,64859,07/08/2012,,Active,,3,2,Paris
200171,Diane,Foucher,03/03/1998,F,RD,Senior Engineer,79900,02/02/2012,28/05/2021,Terminated,Resignation,1,3,Paris
200172,Laurence,Guillon,26/01/1979,M,RD,Research Scientist,97020,05/03/2014,18/09/2022,Terminated,Resignation,4,3,Paris
200173,Alphons,Tamburini,29/10/1974,F,RD,Research Scientist,121920,24/02/2013,,Active,,4,2,Paris
200174,Fedele,Federico,29/10/1989,M,RD,ML Engineer,102000,12/06/2015,19/09/2016,Terminated,Retirement,3,3,Paris
200175,Alexandria,Fernandez,30/05/1999,F,RD,R&D Manager,82560,21/01/2013,,Active,,4,4,Paris
200176,Ian,Morris,18/04/1996,M,RD,Data Scientist,68160,04/09/2013,,Active,,3,4,Paris
200177,Christopher,Osborne,23/02/1989,M,RD,Software Engineer,97020,27/10/2014,21/08/2021,Terminated,Layoff,3,4,Paris
200178,Martine,Ribeiro,08/04/1996,F,RD,Data Scientist,78020,20/10/2012,,Active,,2,4,Paris
200179,Hans-Dieter,Kabus,06/02/1993,F,RD,Data Scientist,120960,21/06/2013,18/10/2024,Terminated,Resignation,3,2,Paris
200180,Édouard,Alves,20/08/1988,F,RD,R&D Manager,69560,16/04/2012,20/06/2020,Terminated,Layoff,3,3,Paris
200181,Amanda,Harris,02/11/1985,M,RD,Data Scientist,93000,01/04/2015,23/03/2019,Terminated,Resignation,3,4,Paris
200182,Mario,Drubin,02/03/1982,F,RD,R&D Manager,137200,03/04/2014,,Active,,4,3,Paris
200183,Cécile,Jourdan,09/05/1995,M,RD,Research Scientist,88320,14/05/2013,30/11/2022,Terminated,Retirement,2,3,Paris
200184,Laure,Gallet,18/07/1974,M,RD,ML Engineer,104860,16/01/2014,,Active,,4,4,Paris
200185,Claude,Thomas,06/01/1986,F,RD,Senior Engineer,89180,30/10/2014,19/02/2018,Terminated,Resignation,2,5,Paris
200186,Benoît,Lebreton,10/08/1997,F,RD,R&D Manager,83300,17/12/2014,,Active,,3,3,Paris
200187,Océane,Gérard,13/04/1981,F,RD,Lead Engineer,72000,08/05/2015,,Active,,4,3,Paris
200188,Clémence,Lebon,18/11/1985,F,RD,Data Scientist,93100,21/03/2014,,Active,,2,5,Paris
200189,Simone,Rossi,21/02/1983,M,RD,R&D Manager,127000,29/03/2015,24/07/2017,Terminated,Resignation,2,4,Paris
200190,Claude,Garnier,09/08/1986,F,RD,ML Engineer,96040,16/11/2014,28/04/2023,Terminated,Resignation,1,4,Paris
200191,Aurore,Thomas,24/11/1980,M,RD,Data Scientist,94000,22/09/2012,13/09/2018,Terminated,Resignation,4,4,Paris
200192,Frédéric,David,09/12/1983,M,RD,R&D Manager,120000,03/01/2015,,Active,,4,3,Paris
200193,Alexandria,Valette,08/10/1996,M,RD,R&D Manager,111360,11/09/2013,02/05/2017,Terminated,Resignation,3,3,Paris
200194,Tonino,Pedroni,02/07/1993,F,RD,R&D Manager,119040,12/07/2013,10/09/2017,Terminated,Resignation,3,5,Paris
200195,Gilbert,Morel,10/03/1991,M,RD,Data Scientist,116620,05/05/2014,,Active,,4,3,Paris
200196,Sabine,Diaz,25/08/1971,F,RD,Data Scientist,106000,15/01/2015,,Active,,3,4,Paris
200197,Susan,Bertin,03/09/1985,M,RD,ML Engineer,134400,04/07/2013,05/04/2019,Terminated,Retirement,3,4,Paris
200198,Thérèse,Joseph,16/02/1974,M,RD,Data Scientist,118080,14/03/2013,04/04/2024,Terminated,Resignation,1,3,Paris
200199,Pierre,Couturier,20/11/1990,M,RD,Software Engineer,134260,02/09/2014,,Active,,3,5,Paris
200200,James,Miller,06/04/1990,M,RD,Senior Engineer,119000,18/01/2015,07/06/2018,Terminated,Retirement,3,5,Paris
200201,Valérie,Roger,18/12/1990,F,RD,ML Engineer,118080,30/08/2013,23/12/2016,Terminated,Resignation,3,3,Paris
200202,Élodie,Laroche,10/02/1989,M,RD,Data Scientist,128640,21/02/2013,,Active,,3,3,Paris
200203,Emmanuel,Muller,28/09/1998,F,RD,ML Engineer,76800,09/08/2013,,Active,,3,4,Paris
200204,Benjamin,Dias,26/11/1994,F,RD,Research Scientist,122880,04/06/2013,11/12/2020,Terminated,Layoff,4,3,Paris
200205,Dieter,Rohleder,25/08/1979,F,RD,Software Engineer,94940,01/12/2012,,Active,,2,5,Paris
200206,Nathalie,Chevallier,30/06/1995,F,RD,Lead Engineer,77080,17/02/2012,26/02/2025,Terminated,Resignation,3,4,Paris
200207,Leyla,Heß,15/04/1990,F,RD,Data Scientist,72380,17/12/2012,,Active,,4,4,Paris
200208,Danielle,Delannoy,29/01/1970,M,RD,R&D Manager,113680,10/06/2014,,Active,,3,3,Paris
200209,David,Colin,29/12/1975,F,RD,R&D Manager,114660,21/05/2014,30/12/2024,Terminated,Resignation,3,3,Paris
200210,James,Castro,10/10/1974,M,RD,Senior Engineer,118080,20/07/2013,07/05/2015,Terminated,Layoff,3,5,Paris
200211,Nathalie,Leduc,05/11/1994,F,RD,Data Scientist,90000,08/03/2015,,Active,,2,3,Paris
200212,Lucas,Allard,30/11/1971,F,RD,Senior Engineer,101520,12/10/2012,17/07/2020,Terminated,Layoff,4,3,Paris
200213,Hélène,Lecoq,03/04/1978,M,RD,ML Engineer,108480,27/10/2013,,Active,,2,5,Paris
200214,Antoinette,Möchlichen,06/04/1988,M,RD,Senior Engineer,134400,31/05/2013,26/05/2019,Terminated,Resignation,3,3,Paris
200215,Hardy,Hecker,15/01/1990,M,RD,R&D Manager,88320,28/06/2013,,Active,,4,2,Paris
200216,Hans-Joachim,Boucsein,19/07/1998,M,RD,Senior Engineer,98880,26/06/2013,23/07/2025,Terminated,Retirement,4,5,Paris
200217,Nathalie,Breton,17/02/1995,F,RD,R&D Manager,116620,19/02/2014,23/09/2023,Terminated,Other,2,3,Paris
200218,Victor,Lelièvre,20/01/1988,M,RD,ML Engineer,68600,30/04/2014,,Active,,1,2,Paris
200219,Michel,Aubert,06/05/1975,F,RD,Senior Engineer,89000,22/06/2015,20/05/2016,Terminated,Resignation,3,5,Paris
